municipio_cod;municipio;pop_19;homicidio_doloso_2;nº_de_vitimas_em_homicidio_doloso_3;homicidio_doloso_por_acidente_de_transito;nº_de_vitimas_em_homicidio_doloso_por_acidente_de_transito;homicidio_culposo_por_acidente_de_transito;homicidio_culposo_outros;tentativa_de_homicidio;lesao_corporal_seguida_de_morte;lesao_corporal_dolosa;lesao_corporal_culposa_por_acidente_de_transito;lesao_corporal_culposa_outras;latrocinio;nº_de_vitimas_em_latrocinio;total_de_estupro_4;estupro;estupro_de_vulneravel;total_de_roubo_outros_1;roubo_outros;roubo_de_veiculo;roubo_a_banco;roubo_de_carga;furto_outros;furto_de_veiculo
538;Santo Antônio da Alegria;    6929;  0;  0;0;0;  0; 0;  1; 0;   38;    6;   0; 0; 0;   0;  0;   0;     8;     8;    1; 0;   0;   122;    2
539;Santo Antônio de Posse;   23310;  4;  4;0;0;  2; 0;  5; 0;  100;   39;   1; 0; 0;   7;  2;   5;    22;    19;   29; 0;   3;   161;   44
540;Santo Antônio do Aracanguá;    8420;  0;  0;0;0;  1; 0;  1; 0;   35;    7;   0; 0; 0;   4;  1;   3;     1;     1;    0; 0;   0;    72;    3
541;Santo Antônio do Jardim;    5954;  0;  0;0;0;  0; 0;  0; 0;   18;    9;   0; 0; 0;   1;  0;   1;     3;     3;    5; 0;   0;    29;    4
542;Santo Antônio do Pinhal;    6811;  0;  0;0;0;  0; 0;  0; 0;   26;    9;   2; 0; 0;   6;  0;   6;     1;     1;    0; 0;   0;    58;    2
543;Santo Expedito;    3111;  0;  0;0;0;  0; 0;  0; 0;   19;    1;   1; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;    22;    0
544;Santópolis do Aguapeí;    4777;  0;  0;0;0;  2; 0;  0; 0;   16;    6;   0; 0; 0;   2;  0;   2;     2;     2;    1; 0;   0;    34;    1
545;Santos;  433311; 20; 20;1;1; 21; 6; 37; 0;  857;  514; 100; 1; 1;  64; 30;  34;  2535;  2467;  169; 1;  67;  5648; 1002
546;São Bento do Sapucaí;   10878;  1;  1;0;0;  0; 0;  0; 0;   47;    7;   0; 0; 0;   3;  2;   1;     2;     2;    1; 0;   0;    62;    8
547;São Bernardo do Campo;  838936; 35; 36;0;0; 32; 4; 36; 1; 1323; 1211;  43; 5; 5; 170; 52; 118;   644;  6259; 1808; 0; 181;  6591;  223
548;São Caetano do Sul;  161127;  5;  5;0;0;  1; 0;  4; 0;  238;  138;  13; 1; 1;  32; 12;  20;   873;   843;  169; 0;  30;  1551;  455
549;São Carlos;  251983; 18; 19;0;0; 19; 0; 23; 1;  658;  254;  12; 0; 0;  35; 18;  17;   416;   404;   39; 0;  12;  3229;  316
550;São Francisco;    2821;  0;  0;0;0;  0; 0;  0; 0;    9;    2;   0; 0; 0;   0;  0;   0;     0;     0;    0; 0;   0;    14;    0
551;São João da Boa Vista;   91211;  1;  1;0;0;  8; 0;  3; 0;  340;  210;   4; 1; 1;  28;  7;  21;    86;    86;   10; 0;   0;   686;   45
552;São João das Duas Pontes;    2568;  0;  0;0;0;  1; 0;  1; 0;    4;    1;   0; 0; 0;   1;  0;   1;     0;     0;    0; 0;   0;     9;    0
553;São João de Iracema;    1922;  0;  0;0;0;  0; 0;  1; 0;    8;    1;   0; 0; 0;   0;  0;   0;     1;     1;    0; 0;   0;    13;    0
554;São João do Pau d'Alho;    2105;  0;  0;0;0;  0; 0;  0; 0;    5;    1;   0; 0; 0;   0;  0;   0;     1;     1;    0; 0;   0;     2;    1
555;São Joaquim da Barra;   51888;  2;  2;0;0;  9; 0;  2; 0;  199;  114;   4; 0; 0;  18;  7;  11;    29;    23;    1; 0;   6;   403;   16
556;São José da Bela Vista;    8928;  0;  0;0;0;  1; 0;  1; 0;   29;   11;   0; 0; 0;   4;  1;   3;     4;     4;    0; 0;   0;    87;    2
557;São José do Barreiro;    4147;  0;  0;0;0;  0; 0;  0; 0;   18;    1;   0; 0; 0;   1;  0;   1;     1;     1;    0; 0;   0;    18;    1
558;São José do Rio Pardo;   54946;  0;  0;0;0;  3; 1;  3; 0;  193;   87;   3; 0; 0;  10;  3;   7;    40;    40;    3; 0;   0;   558;   41
559;São José do Rio Preto;  460671; 24; 24;1;1; 29; 3; 54; 1; 1482; 2041;  47; 2; 2; 167; 46; 121;   769;   767;   58; 0;   2;  6368;  909
560;São José dos Campos;  721944; 35; 36;0;0; 56; 1; 67; 0;  171;  865;  25; 2; 2; 181; 46; 135;  2206;  2189;  452; 0;  17;  5126; 1806
561;São Lourenço da Serra;   15825;  2;  2;0;0;  3; 0;  5; 0;   48;   16;   0; 0; 0;  11;  0;  11;    44;    40;   26; 0;   4;   109;   14
562;São Luiz do Paraitinga;   10687;  0;  0;0;0;  3; 0;  0; 0;   48;   11;   0; 0; 0;   8;  2;   6;    11;    11;    1; 0;   0;    89;    1
563;São Manuel;   40954;  4;  4;1;1; 10; 0;  3; 0;  156;   38;   0; 0; 0;  26;  3;  23;    33;    32;    2; 0;   1;   235;   12
564;São Miguel Arcanjo;   32931;  2;  2;0;0;  2; 0;  1; 0;   80;   40;   1; 1; 1;  13;  0;  13;    21;    21;    4; 0;   0;   313;   18
565;São Paulo;12252023;650;685;3;3;421;24;746;22;29864;14146;1319;64;66;2663;772;1891;141134;137369;21229;13;3752;226566;37331
566;São Pedro;   35653;  4;  4;0;0;  1; 0;  3; 0;  155;   87;   1; 0; 0;  16;  3;  13;    43;    41;    9; 1;   1;   245;   20
567;São Pedro do Turvo;    7666;  1;  1;0;0;  0; 0;  1; 0;   37;    7;   1; 0; 0;   2;  0;   2;     5;     4;    1; 0;   1;    39;    2
